Mf af
293.530284 0.769861
313.952690 0.876533
300.858269 0.838556
300.944113 0.845713
285.893105 0.829823
309.222754 0.865262
308.350991 0.833239
286.052455 0.779763
309.168246 0.879910
308.428943 0.823805
315.305314 0.886793
304.919395 0.859148
300.646572 0.842198
297.115353 0.868756
302.694811 0.851048
307.212537 0.849017
268.070841 0.718806
306.874230 0.805812
309.699970 0.854727
303.725923 0.839184
268.520343 0.672467
259.946044 0.619911
296.209578 0.788726
290.737134 0.807711
310.606579 0.890541
270.309422 0.666817
296.153412 0.807025
293.769395 0.783705
300.790055 0.816491
286.657043 0.801915
299.581329 0.844198
273.345761 0.740597
274.509712 0.667774
284.540621 0.752798
270.330717 0.721404
299.627980 0.836301
296.617884 0.808032
278.906092 0.696104
307.057952 0.875214
283.436114 0.785924
290.895322 0.773828
299.905441 0.844383
291.634238 0.743797
299.750285 0.856092
311.808705 0.857964
317.049577 0.848689
301.734296 0.798711
300.457048 0.820556
305.562124 0.790624
309.819515 0.877146
295.430961 0.831716
301.862791 0.864560
297.448441 0.794512
315.808115 0.864911
300.315146 0.804862
279.008221 0.758880
294.835470 0.824186
279.670021 0.805791
293.567891 0.806372
304.192530 0.811482
291.071530 0.832027
300.788669 0.821072
276.561153 0.727298
303.853421 0.871654
264.454082 0.684241
299.178712 0.866283
298.310360 0.815921
304.231387 0.826022
308.767015 0.866216
287.358103 0.730613
307.314214 0.885463
287.173071 0.826731
294.780966 0.775220
298.580850 0.809714
317.824600 0.898849
285.125903 0.774496
308.101304 0.844673
300.682334 0.821923
301.274853 0.856140
311.670156 0.885019
262.961762 0.589183
274.417549 0.743716
312.275399 0.831401
313.942446 0.882219
300.018816 0.860212
270.514295 0.695861
311.065854 0.863868
291.311307 0.805808
285.440933 0.798444
307.709419 0.832152
298.502781 0.805662
292.685556 0.824783
285.042977 0.796486
288.555648 0.771482
302.193837 0.858773
313.503452 0.836787
295.735738 0.786885
299.384272 0.825314
298.073187 0.877315
291.629998 0.827286
311.736320 0.866880
276.193722 0.710352
302.787582 0.883203
301.534392 0.822827
267.062189 0.641385
285.583260 0.795383
300.993808 0.856610
293.820323 0.786013
286.432944 0.811714
282.588066 0.722061
310.365552 0.879269
301.225582 0.819307
308.883671 0.878609
303.498887 0.842667
299.473050 0.871062
283.875057 0.789907
309.197402 0.861321
294.237927 0.807730
294.414491 0.797692
299.610720 0.864545
278.282408 0.716685
293.195811 0.793286
293.732108 0.779501
309.272710 0.891710
301.212266 0.833701
280.277775 0.773166
302.112767 0.817929
282.919033 0.766112
291.415846 0.776820
290.130188 0.715339
293.509023 0.805720
311.562275 0.859282
303.681662 0.827720
287.769555 0.792197
300.138488 0.829417
308.045610 0.791994
298.447042 0.856652
304.026444 0.817530
305.950529 0.831509
304.321902 0.866036
296.815426 0.829981
302.677669 0.803552
302.420962 0.823061
287.209324 0.782470
260.816682 0.690324
293.743862 0.766234
289.302969 0.778150
294.735978 0.784949
309.091688 0.836871
288.038620 0.795438
290.859172 0.803045
290.910408 0.828903
300.445206 0.780581
299.087829 0.791084
296.497835 0.807194
308.587590 0.877822
283.756321 0.778392
299.644140 0.850228
295.060748 0.832778
293.244918 0.781339
293.570439 0.785508
291.280130 0.830837
289.124459 0.760999
278.607032 0.741886
305.889224 0.789683
282.787871 0.772836
304.206538 0.827641
300.683874 0.803719
305.308336 0.835099
302.520036 0.818058
261.805544 0.676233
308.331003 0.822407
306.922429 0.850901
307.686582 0.804387
298.724388 0.821753
313.026635 0.840841
294.512963 0.803220
275.805915 0.757211
296.831017 0.847095
293.984087 0.826184
276.456982 0.674113
310.210259 0.838435
310.356647 0.830005
292.710051 0.806328
293.576249 0.838883
301.500141 0.833608
295.744262 0.822054
309.240429 0.859239
305.924401 0.844720
266.067516 0.702359
289.924656 0.770390
283.199708 0.734362
292.007214 0.827450
292.621379 0.791144
303.869240 0.807064
309.657561 0.830423
304.166036 0.830998
298.814169 0.814046
295.090812 0.843485
304.471162 0.805769
276.414855 0.777524
307.339452 0.838399
299.353574 0.834421
294.014658 0.790802
302.497963 0.836043
294.513596 0.823760
306.681029 0.839780
305.405164 0.843095
296.254622 0.837966
306.195925 0.828345
286.751938 0.838876
301.846465 0.854678
308.296415 0.902880
285.068272 0.762700
290.216847 0.824171
289.533877 0.793445
282.934396 0.779419
291.994042 0.849825
293.874279 0.775417
292.101062 0.781681
297.496148 0.792113
307.973313 0.838205
293.104024 0.839825
299.988336 0.843888
298.967002 0.843938
291.839330 0.806031
273.362412 0.695877
310.774556 0.825024
287.145073 0.770913
288.959282 0.725248
298.383529 0.801818
292.206306 0.780365
303.518417 0.870347
289.012028 0.793573
301.833139 0.835600
308.420586 0.833587
289.516910 0.814250
310.206104 0.852457
269.436679 0.704832
310.194028 0.879774
299.472975 0.848874
287.425081 0.814489
291.657589 0.771971
280.526011 0.750425
294.671072 0.825478
294.435278 0.842081
307.256432 0.896589
287.107646 0.767347
304.835271 0.864201
296.246913 0.825699
274.339395 0.719830
281.551176 0.751677
276.430847 0.719724
304.441372 0.868458
294.934516 0.753218
293.114416 0.834657
307.137482 0.838602
299.366794 0.835324
308.474278 0.854144
293.608656 0.738420
264.627780 0.689339
278.684158 0.724720
279.905108 0.725516
307.500224 0.874953
302.405101 0.857939
301.063559 0.845662
286.158742 0.773744
308.373175 0.901289
286.684315 0.756968
310.093301 0.888968
291.574745 0.794081
292.281409 0.847486
286.899049 0.818156
291.575750 0.813192
306.602348 0.844109
263.879600 0.690760
297.046143 0.865766
301.149620 0.817717
301.910589 0.824853
297.057407 0.811878
283.242524 0.733088
281.298563 0.808084
303.081498 0.812447
294.276154 0.828792
289.229399 0.833657
272.034869 0.696032
308.715796 0.849451
305.770190 0.881245
295.385024 0.850048
298.896087 0.840356
297.721612 0.835933
308.119850 0.892498
304.224818 0.831029
299.742114 0.850276
283.396669 0.768417
291.375473 0.769395
286.317429 0.784569
297.231915 0.812634
289.808106 0.773594
314.134995 0.860911
275.993906 0.756235
290.103785 0.793536
267.994233 0.694195
302.991238 0.826843
310.606464 0.859596
299.514144 0.814786
295.215161 0.824577
304.964161 0.800346
308.824048 0.841235
306.282911 0.793729
289.650456 0.795755
310.892278 0.870659
304.912282 0.861765
270.884245 0.651528
290.319217 0.756127
304.937509 0.821779
299.829822 0.790783
272.533022 0.687838
309.971594 0.845314
293.818224 0.783223
296.476324 0.879821
281.472213 0.736268
301.186274 0.809357
310.113630 0.840035
311.827673 0.850751
289.475466 0.805373
299.359636 0.850741
286.682222 0.790269
283.995691 0.791232
280.565910 0.693230
305.822750 0.842036
291.376379 0.828681
298.777109 0.834684
303.594788 0.844771
308.425575 0.824499
313.182697 0.878589
304.366350 0.852555
287.985327 0.764516
304.125222 0.850182
294.457776 0.843598
294.112218 0.813800
304.753480 0.813233
304.543779 0.846276
301.896910 0.792355
280.936321 0.671353
305.470726 0.817019
304.815164 0.849456
304.668021 0.821747
294.517140 0.831084
300.975025 0.846066
276.875409 0.735522
303.536651 0.833493
289.644938 0.808045
300.944749 0.855636
292.786436 0.817898
293.629617 0.762196
302.991997 0.817150
292.625724 0.780366
285.989760 0.766541
297.442131 0.819250
298.714209 0.824664
302.237767 0.837723
301.266648 0.851270
280.451201 0.701730
287.371131 0.806855
299.583570 0.853011
283.106777 0.782268
273.112915 0.685470
289.328447 0.791043
287.979012 0.807374
303.509803 0.849663
286.371811 0.796457
306.528467 0.822926
303.911567 0.832248
287.465149 0.798770
291.900289 0.741252
284.963053 0.791752
294.908385 0.816599
293.751345 0.788691
301.670333 0.862447
280.805044 0.762490
284.793577 0.744475
307.869934 0.879316
285.869632 0.793331
315.444054 0.895021
298.010990 0.802706
298.080948 0.871660
297.456986 0.811671
301.561741 0.877067
281.111878 0.794828
308.231874 0.835593
297.122418 0.793227
297.013948 0.821426
293.338154 0.797372
308.791061 0.824979
305.614434 0.845928
303.431657 0.810130
298.244692 0.870790
300.887697 0.808863
288.908563 0.762279
294.774522 0.774756
304.654306 0.834857
287.062184 0.755954
300.090474 0.777369
314.333350 0.854976
308.101228 0.859251
281.924904 0.755491
309.832642 0.878350
293.624507 0.787222
273.219729 0.693993
291.811177 0.792677
299.277605 0.787536
290.850207 0.793212
297.429637 0.837170
291.698448 0.784746
290.224920 0.779298
297.555766 0.788653
276.784942 0.685590
296.665862 0.854106
281.762534 0.702353
296.030121 0.819404
294.156809 0.824222
301.587895 0.824282
296.283427 0.818510
295.549347 0.809752
291.512059 0.845541
299.710705 0.870436
271.668856 0.677719
317.621345 0.853827
297.759581 0.793533
300.985125 0.815179
293.009471 0.755414
299.068579 0.824909
306.892912 0.829958
314.318335 0.846530
290.648454 0.793857
296.407995 0.798716
268.699345 0.730383
304.422928 0.841127
289.228888 0.784389
302.749036 0.848253
288.084749 0.813755
285.820571 0.766731
297.417179 0.810155
294.627018 0.839857
296.298963 0.777365
291.393022 0.814980
281.689337 0.739800
294.843036 0.726289
313.605792 0.870563
317.068084 0.886016
298.977307 0.862426
297.527032 0.845408
303.337041 0.851988
295.422776 0.830542
287.410249 0.802014
298.248357 0.839428
299.843487 0.806130
292.453312 0.862466
307.421840 0.854268
273.701150 0.675714
301.492376 0.828748
294.530616 0.838166
303.670431 0.878276
306.429056 0.849542
297.452175 0.823580
298.125417 0.825003
296.343284 0.842544
287.147011 0.733047
286.275148 0.812581
289.587322 0.790189
284.618140 0.726165
284.799097 0.810841
288.376962 0.785181
303.610570 0.881223
302.828146 0.787778
290.385250 0.777964
297.106840 0.847230
305.651645 0.881320
293.932502 0.744645
276.677571 0.736229
304.011014 0.827466
298.314090 0.796156
304.037050 0.797118
299.006558 0.822830
291.896632 0.782192
292.953522 0.769486
306.757098 0.814960
310.453063 0.885184
306.851634 0.825633
297.698562 0.816428
284.899117 0.810020
295.468442 0.835555
294.544553 0.812100
292.826911 0.799309
304.778665 0.864184
297.292898 0.848625
304.487812 0.839464
301.836367 0.846947
310.079461 0.871479
291.878755 0.794397
296.991195 0.783545
281.784176 0.748037
304.324719 0.861645
316.012203 0.843566
310.631367 0.863028
278.478111 0.732147
287.064378 0.793014
284.749848 0.708188
301.405123 0.837233
296.422793 0.813946
287.982083 0.773531
310.662497 0.864989
292.865905 0.780899
288.865215 0.808021
306.438964 0.865722
307.041810 0.872025
284.745507 0.714133
305.153701 0.858664
301.772425 0.845174
307.723383 0.845569
292.088043 0.794085
301.462618 0.843934
310.897335 0.811846
306.332885 0.826559
276.337991 0.732555
299.749811 0.870717
304.143508 0.867725
294.753337 0.805488
295.583139 0.777193
276.461971 0.730982
285.214451 0.763794
306.287289 0.844436
305.214375 0.850949
309.824539 0.863617
298.028110 0.833449
310.223541 0.867083
286.217852 0.817171
301.636569 0.845905
294.709501 0.853311
292.202331 0.776170
301.661353 0.860348
301.063571 0.802076
292.321243 0.788006
303.777044 0.846706
287.215689 0.804718
297.133535 0.828240
277.553144 0.724986
298.839404 0.839319
282.556598 0.748861
298.231011 0.820470
287.573703 0.776215
277.571935 0.712536
311.645492 0.842512
302.882234 0.833913
312.154894 0.877640
301.595506 0.796106
296.194023 0.848672
299.981241 0.831712
288.538954 0.767616
305.083124 0.846915
302.183212 0.820520
299.951588 0.790868
301.655378 0.840454
298.580431 0.844340
285.326176 0.777951
304.054239 0.853865
290.663364 0.805089
294.142122 0.816942
298.489383 0.838484
281.297144 0.778777
275.248565 0.731052
302.154999 0.819751
298.742061 0.828479
298.124350 0.784400
287.835606 0.742161
292.846888 0.798021
278.572046 0.686738
300.304430 0.831602
304.632173 0.872776
303.539245 0.831776
304.157656 0.811067
309.774273 0.857714
298.564731 0.855509
285.469614 0.778006
288.359886 0.737900
295.807724 0.798625
294.706042 0.773666
298.330956 0.796170
300.906864 0.797131
295.555547 0.788112
298.518707 0.852274
308.401023 0.899081
286.655215 0.692687
306.584676 0.839035
300.531561 0.872619
305.109789 0.860174
308.235623 0.872286
295.319987 0.844604
297.159280 0.823521
297.593322 0.844043
302.440823 0.792357
266.294620 0.688809
289.302461 0.791513
294.849897 0.812055
298.059698 0.801964
309.954952 0.837721
305.010147 0.847369
293.454942 0.831513
304.970945 0.882052
293.075931 0.832708
300.954131 0.814443
308.735609 0.865308
303.185735 0.833831
301.810977 0.808198
294.128507 0.813284
305.788321 0.791099
313.436457 0.829244
303.973237 0.820553
289.029964 0.807229
305.783728 0.839901
285.074303 0.802158
294.707243 0.855163
297.869581 0.797244
281.076558 0.733925
304.347782 0.789374
286.070107 0.764167
298.658301 0.865781
296.153302 0.801810
292.495966 0.810263
295.826452 0.810539
290.269973 0.742252
298.919271 0.821211
288.612497 0.790819
275.915589 0.717544
290.042316 0.758642
302.127185 0.808592
265.842188 0.715781
291.777075 0.771285
304.119861 0.875377
299.591798 0.809586
310.842845 0.837189
312.987722 0.891552
302.474621 0.811178
300.429222 0.837604
305.641945 0.819462
299.469096 0.798956
292.396985 0.799176
311.908275 0.841911
277.217172 0.714400
292.706315 0.838543
298.184087 0.816803
274.553295 0.694179
300.129810 0.817577
296.821996 0.814437
290.084442 0.810248
293.162904 0.821404
293.147971 0.807031
311.051470 0.859294
299.965622 0.818294
299.743032 0.795367
312.210813 0.852379
307.163734 0.849361
294.670883 0.808129
294.508380 0.818597
311.096210 0.883913
301.662900 0.847734
306.272578 0.870818
282.367309 0.765292
297.841803 0.807732
295.787528 0.820869
280.093475 0.739103
298.410981 0.810438
306.620675 0.847072
308.547571 0.832746
287.526631 0.783417
308.829428 0.854918
296.074013 0.804256
280.746539 0.775162
312.266412 0.850566
292.822130 0.834816
303.140167 0.800795
306.225303 0.842728
289.506011 0.823564
304.613647 0.818544
307.680606 0.851245
290.794795 0.750682
303.817298 0.862094
282.070931 0.769550
295.461767 0.832371
288.639923 0.781510
304.882414 0.809671
305.528484 0.836298
302.691371 0.848413
309.305529 0.856581
296.694483 0.826770
291.608573 0.796933
278.529372 0.681375
289.271229 0.724314
295.231648 0.802365
301.940235 0.809506
278.941213 0.708604
302.172648 0.856709
278.038636 0.721749
297.347390 0.828941
310.038064 0.847433
278.396614 0.691307
291.635801 0.793853
284.671596 0.763758
303.459339 0.854508
274.304919 0.693346
272.682541 0.686834
303.446016 0.862764
281.654473 0.770366
294.338464 0.758386
298.178349 0.853558
304.709267 0.858162
304.852951 0.829775
299.812704 0.849858
277.044229 0.693412
293.416250 0.777575
290.265004 0.819623
293.532494 0.818510
291.403895 0.721404
282.020729 0.767529
312.285472 0.875468
293.126229 0.787137
287.736923 0.795128
305.198727 0.846347
272.141294 0.724763
292.496133 0.822497
296.133454 0.833719
308.530768 0.858714
299.096089 0.824534
305.511510 0.869022
275.900842 0.732654
296.428905 0.850536
293.364429 0.755339
289.979115 0.833971
285.673379 0.784158
299.437129 0.834687
309.865762 0.875982
301.359918 0.867417
304.325316 0.874775
297.964873 0.835523
301.913013 0.806938
296.743514 0.827034
297.549143 0.852968
282.632406 0.747310
312.127641 0.896991
295.775944 0.845782
293.129755 0.783495
288.882610 0.765647
296.028999 0.816843
291.320424 0.740141
288.437537 0.793053
293.794834 0.779179
288.812969 0.739588
296.823160 0.801048
299.794293 0.804609
286.019451 0.753771
301.710669 0.864190
297.284566 0.864886
299.787963 0.836762
299.101024 0.836310
287.948757 0.763104
285.438322 0.776267
298.961972 0.862751
287.842866 0.800460
278.793912 0.733240
304.165623 0.845076
298.378167 0.808519
310.094665 0.823946
297.775191 0.828048
277.387871 0.701062
303.994005 0.827767
302.588130 0.890731
288.484566 0.802141
303.535658 0.841866
307.815244 0.799256
295.375783 0.822671
290.738345 0.813020
289.067336 0.805432
299.857653 0.835195
278.623594 0.743229
304.682132 0.815225
300.253403 0.859965
300.391834 0.838778
298.165129 0.806819
299.624805 0.817857
303.493833 0.823383
310.102823 0.843920
297.680745 0.804155
310.214550 0.880020
288.260244 0.806952
297.291699 0.834277
290.467396 0.773368
296.137187 0.833712
299.246788 0.828030
304.289034 0.817832
297.840978 0.819695
290.548149 0.755403
304.631385 0.848117
292.962431 0.799088
291.642501 0.797454
291.896801 0.831797
306.476519 0.864869
300.547434 0.793201
306.608004 0.888701
289.795412 0.825690
293.157396 0.813144
302.715565 0.883223
306.304490 0.822113
273.754822 0.688323
302.619372 0.841081
303.312362 0.855110
304.772596 0.883006
301.746229 0.820866
309.379428 0.871796
293.611295 0.823205
297.805151 0.822348
298.583258 0.829912
302.576818 0.855872
288.476914 0.792012
308.544829 0.846714
287.198770 0.801720
301.973214 0.818858
300.815882 0.799557
280.295566 0.712382
310.966373 0.891873
314.260616 0.857370
295.222433 0.829762
287.580138 0.793933
296.041309 0.779710
302.115777 0.824477
293.814032 0.797702
298.561060 0.831240
307.914215 0.890745
289.951207 0.760012
303.067647 0.850700
296.169653 0.804303
305.679069 0.855162
270.543184 0.709575
270.921401 0.698704
290.943017 0.833358
294.401324 0.825500
304.194224 0.811156
288.384059 0.791460
309.173463 0.841464
301.194478 0.829671
303.480509 0.854937
294.434220 0.831652
293.593563 0.840948
304.871533 0.824112
297.204681 0.800637
306.760778 0.833541
296.476788 0.843361
307.723474 0.837060
295.274311 0.816609
300.117631 0.848513
294.465918 0.815481
302.455798 0.813067
304.866523 0.850254
285.336377 0.797278
281.734417 0.701116
297.354103 0.815233
297.932052 0.851018
303.920521 0.847310
298.055166 0.836580
287.027894 0.752874
300.475886 0.817989
312.293150 0.847438
299.839461 0.815278
300.396340 0.849070
294.769170 0.816414
308.691576 0.780494
281.325716 0.738770
299.818690 0.828840
307.829432 0.879163
293.710134 0.779189
271.331006 0.732641
306.921956 0.814092
295.333458 0.807287
305.565004 0.850775
304.264480 0.853579
312.131937 0.837082
309.664045 0.848019
306.072204 0.840553
305.141364 0.802412
295.341012 0.803721
291.235837 0.810999
287.149662 0.843106
285.892279 0.791979
305.671288 0.811000
301.685826 0.833246
300.374999 0.816477
296.453062 0.808353
300.156231 0.842677
302.791863 0.866183
303.879261 0.839385
297.559425 0.825321
276.465423 0.682646
296.654105 0.815967
305.226846 0.826244
291.736786 0.777388
304.938373 0.889614
299.022478 0.780503
304.497173 0.811691
298.664968 0.821905
304.734039 0.867241
304.825030 0.830826
300.491733 0.835082
277.134042 0.737364
301.932165 0.816177
292.442986 0.788573
292.778705 0.833292
303.507731 0.850202
293.242919 0.783267
281.805397 0.748041
294.299532 0.794194
291.444414 0.817658
304.545033 0.802842
273.584165 0.679541
296.509707 0.813205
296.263646 0.853352
300.300148 0.860231
299.135173 0.842397
298.201767 0.807157
291.456463 0.811849
288.582526 0.780617
301.620398 0.869847
300.598814 0.821697
289.857453 0.764600
301.524238 0.869586
291.001053 0.800401
294.856832 0.843934
304.066791 0.863422
302.432109 0.817431
301.760714 0.835517
287.022174 0.762425
291.404677 0.787609
299.359532 0.800660
267.182027 0.676542
310.347642 0.892858
294.827495 0.838233
302.796410 0.790448
299.055265 0.822211
311.450855 0.880560
302.753547 0.847401
303.209557 0.827512
309.595795 0.871929
301.241502 0.806668
307.692481 0.840846
289.588657 0.792159
274.115590 0.720973
310.247733 0.859146
305.548644 0.869894
306.694824 0.828700
289.280559 0.818450
294.418804 0.804602
291.476781 0.776924
292.330773 0.787349
292.127142 0.734802
293.784044 0.843172
292.672038 0.763954
294.281728 0.807237
300.382215 0.842644
268.944541 0.699374
277.574605 0.716602
299.855924 0.810370
289.343696 0.824518
298.108234 0.836650
300.215942 0.817894
297.487186 0.857436
308.112523 0.862682
291.239890 0.778596
288.954830 0.824552
282.225454 0.751347
287.928431 0.733716
307.103261 0.840908
281.626981 0.737025
294.969255 0.834619
296.967957 0.856973
305.196127 0.830815
273.425683 0.694553
306.772677 0.866393
277.444323 0.733570
313.551310 0.880320
268.292052 0.656937
293.497144 0.799081
295.809954 0.853394
280.172766 0.737759
295.060462 0.857829
310.459973 0.872754
299.674067 0.837096
307.273235 0.849163
302.819005 0.869270
298.940986 0.836979
291.928035 0.772444
285.819763 0.800472
304.422363 0.845378
292.623097 0.794253
293.282759 0.780178
300.027893 0.844521
304.589363 0.859472
292.589947 0.821527
273.590248 0.712329
294.771888 0.818313
293.060752 0.794866
310.522624 0.860324
313.724449 0.852522
304.362339 0.866861
309.739490 0.883753
306.919155 0.817607
296.848597 0.799740
271.570569 0.684832
311.635960 0.857104
309.617940 0.879796
287.742478 0.805103
300.241591 0.857899
291.921270 0.830064
292.623724 0.816621
299.129553 0.841548
299.873164 0.840155
303.026373 0.878777
302.633284 0.828830
297.406433 0.812833
305.972898 0.831058
289.172304 0.808892
301.672043 0.817693
311.728943 0.801616
275.306802 0.699003
283.773479 0.777348
288.038799 0.775016
294.429446 0.740910
306.680908 0.811825
292.674373 0.826190
308.374670 0.825933
300.168321 0.815769
310.765551 0.852034
296.779290 0.823013
298.834331 0.800269
305.348612 0.872783
277.748394 0.757173
289.958129 0.774795
301.851665 0.798270
292.691593 0.816003
280.910198 0.723427
297.084892 0.842997
305.952156 0.882333
301.463424 0.816055
294.088610 0.839013
302.662351 0.855186
295.374016 0.750169
296.759483 0.791225
290.631229 0.768192
305.936478 0.820754
300.235474 0.851481
310.516610 0.867626
299.890218 0.828447
296.805310 0.841901
305.172486 0.854568
300.547979 0.824609
310.879953 0.847369
296.696831 0.800269
290.181243 0.756890
298.802937 0.795424
301.753167 0.822801
302.737263 0.848289
301.790639 0.861356
305.298418 0.823304
300.167117 0.824416
302.557023 0.864615
282.612321 0.704277
310.782935 0.848620
294.501100 0.815074
302.707089 0.870811
302.323648 0.855353
303.645051 0.826881
299.933937 0.839385
308.610138 0.822949
298.479045 0.864545
282.165238 0.758996
301.698513 0.849729
292.439274 0.783346
283.692319 0.756392
307.707007 0.854815
306.214329 0.838746
301.346867 0.796130
290.990814 0.779376
298.027347 0.823113
277.565402 0.752880
302.148585 0.830698
294.980930 0.819556
301.380778 0.851159
292.114321 0.757865
289.510960 0.805196
307.643096 0.822885
295.401954 0.841457
292.680671 0.800854
306.031340 0.830980
295.605082 0.840583
300.315849 0.880029
294.313741 0.811360
285.678139 0.812658
302.556057 0.821824
296.897096 0.810429
300.461523 0.802903
298.578188 0.861508
294.828399 0.817903
297.725341 0.799741
312.420025 0.882930
278.664875 0.817412
282.565287 0.733524
311.066906 0.812299
301.561190 0.864308
307.913748 0.835613
270.264393 0.744668
297.498877 0.796031
307.270673 0.866458
301.977426 0.854923
310.232553 0.878511
310.921277 0.874520
291.725865 0.749013
276.528594 0.756509
290.357074 0.770665
290.258145 0.772805
302.985712 0.848021
289.054938 0.833413
302.914681 0.854457
291.828609 0.824527
294.036532 0.792816
309.501590 0.895005
297.738351 0.846560
275.160089 0.710135
301.350198 0.838270
301.573263 0.827275
299.200292 0.804142
292.249948 0.752264
307.154243 0.852463
281.309834 0.662239
290.536291 0.773415
301.707020 0.849594
291.790275 0.810324
295.334730 0.839319
287.018441 0.797616
288.286793 0.778336
300.440176 0.874143
