Mf af
260.439538 0.710060
249.937328 0.779047
237.825672 0.645964
247.512637 0.771055
272.398216 0.779960
247.540876 0.682073
243.007334 0.608131
284.510677 0.870122
244.901622 0.685560
273.505955 0.740086
243.287070 0.697237
261.317997 0.665856
266.570172 0.768178
240.317321 0.694284
235.525968 0.678000
252.236853 0.697223
240.516043 0.663552
270.689740 0.757650
267.572162 0.751659
238.591597 0.647445
281.563849 0.791601
253.872737 0.744000
283.573459 0.790095
235.936321 0.611275
247.272894 0.670606
256.491939 0.645323
251.475440 0.717922
256.412987 0.639228
276.391404 0.743112
250.368859 0.766994
275.894883 0.798317
280.993559 0.770992
254.118792 0.746557
252.504869 0.676437
258.233664 0.681292
248.892257 0.646033
287.338535 0.801412
261.121108 0.749358
252.245226 0.652266
273.414910 0.758152
275.406553 0.774025
248.743097 0.632474
231.795547 0.598952
248.306986 0.755775
279.695220 0.810338
256.078600 0.733426
286.162323 0.824704
228.414110 0.605273
255.481535 0.693508
247.913350 0.639672
261.194449 0.793448
274.845439 0.789919
229.867478 0.646875
261.146179 0.707844
228.069360 0.632796
253.127985 0.704755
252.545934 0.594735
283.360499 0.804253
238.775149 0.669408
268.781513 0.751678
299.346219 0.804530
262.653838 0.702643
234.071084 0.578591
221.256229 0.561778
227.553086 0.663934
225.148677 0.678386
257.265868 0.768798
248.772704 0.712211
246.959201 0.659075
277.211530 0.777931
264.589920 0.793829
223.030898 0.631872
237.244981 0.668959
244.191516 0.719222
285.544031 0.813009
277.003032 0.852093
258.076773 0.669345
256.167416 0.702553
247.151020 0.700438
265.077947 0.736742
244.314854 0.663793
286.573504 0.857710
269.897398 0.738228
267.736406 0.774677
268.888577 0.728903
279.208307 0.814669
242.640896 0.663107
273.381222 0.762547
284.365422 0.794293
237.741949 0.538038
231.171764 0.569556
250.159023 0.617109
283.412779 0.778587
243.586993 0.656989
250.733840 0.692591
239.148251 0.700958
239.815370 0.647675
267.104348 0.734632
242.929885 0.657290
266.342982 0.732270
260.650811 0.705155
259.251045 0.717028
259.180777 0.690352
229.789809 0.644389
275.020026 0.812931
256.501610 0.705031
258.908729 0.693417
239.123131 0.664789
246.841714 0.629447
286.092265 0.822179
241.737932 0.593406
266.179928 0.667560
280.926720 0.810167
273.510281 0.782629
249.643111 0.700569
288.963942 0.838129
282.259494 0.789016
276.098761 0.753586
246.954634 0.644805
252.896444 0.635734
240.054519 0.653612
258.183795 0.745992
249.363894 0.670350
249.611831 0.620488
245.329877 0.495771
274.973165 0.792343
264.715422 0.731775
269.170781 0.713986
246.856707 0.682982
284.385134 0.786716
254.283738 0.704793
275.887724 0.753960
243.071473 0.696562
256.944117 0.678904
235.135429 0.662372
248.756204 0.735020
269.885654 0.694350
258.576217 0.767342
232.921938 0.654871
275.598054 0.753963
252.866475 0.714229
253.526813 0.720704
239.440947 0.653604
219.390794 0.662794
236.214261 0.518075
228.887780 0.594287
262.396532 0.739331
251.309709 0.690907
251.341806 0.691590
237.920693 0.677555
249.424613 0.631123
264.549206 0.715321
282.396030 0.854440
260.743639 0.725873
265.321810 0.670109
269.388994 0.724275
288.480261 0.812402
268.098758 0.776129
274.501192 0.789405
278.851135 0.784039
246.385416 0.686286
250.255229 0.691925
251.159851 0.705119
296.509344 0.832161
263.472730 0.767540
266.006515 0.743637
267.172880 0.802926
253.907192 0.756813
259.105381 0.733626
270.873364 0.790829
263.804957 0.753924
262.451096 0.737222
255.403153 0.665131
248.133268 0.705816
258.649120 0.709413
257.004767 0.679016
277.194505 0.788079
231.122352 0.621552
265.039685 0.679509
257.339140 0.717742
225.763067 0.656872
250.228777 0.718473
276.027687 0.791285
247.900460 0.654650
240.317858 0.597014
285.213256 0.808320
248.480934 0.681569
250.719277 0.704478
239.682273 0.582558
241.178686 0.758213
255.075192 0.643032
278.609278 0.832835
273.417612 0.782572
267.205379 0.698673
262.476954 0.715927
258.370999 0.724042
259.528283 0.733110
233.320097 0.606535
262.472120 0.716597
227.249692 0.568110
220.102381 0.658672
255.831010 0.723760
257.582381 0.670754
248.266721 0.655467
251.725793 0.678576
247.027585 0.693300
236.557770 0.641499
230.104054 0.629972
229.547732 0.628570
278.361774 0.788165
260.286663 0.797743
239.685666 0.581866
254.275485 0.679096
247.543785 0.604576
269.233070 0.790100
251.888851 0.738087
259.464782 0.673196
231.508109 0.674087
257.121881 0.693217
250.876143 0.701931
261.967259 0.681077
273.369665 0.796899
254.491557 0.719203
236.513320 0.676867
261.021636 0.746199
276.310591 0.760296
243.635339 0.758624
257.065436 0.725162
270.845751 0.786599
268.600012 0.688238
276.012876 0.797985
237.343195 0.650214
264.242454 0.755033
244.842475 0.683814
257.547837 0.670793
268.036076 0.743874
255.655899 0.719303
275.467108 0.734573
255.356091 0.735234
275.893672 0.752711
253.575193 0.735264
215.396663 0.517943
257.238134 0.715333
258.179743 0.731717
237.430867 0.605440
242.435064 0.707995
285.822095 0.837841
255.418761 0.761731
262.740909 0.712396
228.545996 0.535571
229.888662 0.637706
267.218810 0.718168
252.388943 0.631014
255.637807 0.665344
239.776155 0.604285
277.841537 0.823267
254.963667 0.714714
249.710069 0.659199
252.037090 0.705746
269.356556 0.769892
270.100489 0.692479
244.547182 0.632145
274.176302 0.726058
254.165469 0.718799
249.110181 0.703038
259.113412 0.727738
259.638054 0.744957
256.612759 0.764608
234.151659 0.564260
258.845145 0.686151
293.567806 0.845660
256.159810 0.691213
255.633852 0.741694
258.537073 0.816286
239.480607 0.649041
261.869592 0.697015
274.707269 0.795670
274.478685 0.794345
248.182844 0.746250
257.557618 0.711677
236.579292 0.686333
242.592330 0.618046
249.625249 0.683511
295.105920 0.841518
238.965743 0.636359
214.422447 0.550165
239.272617 0.632970
273.646341 0.797845
269.852470 0.793477
270.574725 0.787386
247.152248 0.645395
228.642641 0.616728
229.172130 0.686845
265.918066 0.706592
254.926564 0.759879
256.314804 0.706248
256.620116 0.723552
242.748071 0.661205
292.749048 0.824445
263.376459 0.748028
268.490284 0.737265
240.667670 0.702659
283.248360 0.818016
258.167309 0.720163
281.091173 0.800602
295.977869 0.831989
252.669396 0.755875
254.829981 0.663076
251.936382 0.730904
255.644952 0.701642
256.591700 0.662326
280.882084 0.784020
261.987232 0.743701
252.455504 0.675131
258.101919 0.683856
258.233958 0.738521
299.046723 0.891562
236.740329 0.603216
254.551593 0.805770
260.984531 0.699731
270.278609 0.768152
243.272587 0.720829
283.360027 0.820686
268.479267 0.798536
238.266905 0.609817
254.524213 0.675177
256.156199 0.720363
235.071798 0.607787
241.126621 0.713132
250.477893 0.669043
272.272485 0.738558
254.097481 0.704253
226.379905 0.552794
285.537468 0.799171
273.537020 0.755929
249.572829 0.749577
247.123046 0.615190
255.664302 0.801566
252.638298 0.702566
268.364310 0.725744
297.469106 0.835259
251.413458 0.729545
267.121698 0.687273
263.067619 0.795304
234.365140 0.600216
231.441208 0.658539
247.960517 0.701951
255.134461 0.790515
254.510185 0.712897
262.077595 0.725212
236.639970 0.673383
281.080476 0.800642
273.917265 0.830021
282.706456 0.798264
255.489444 0.687776
268.686828 0.743749
271.090464 0.747927
263.479643 0.764561
278.002184 0.824059
221.809059 0.656324
275.587922 0.752989
277.605774 0.824220
269.424267 0.741380
230.263677 0.615555
238.483988 0.606139
239.448113 0.716378
248.337034 0.733607
239.941944 0.642934
228.878611 0.598907
267.131152 0.742938
273.741385 0.788721
267.470255 0.739807
242.434667 0.702213
264.276801 0.770166
252.696346 0.714405
233.945649 0.646445
278.095036 0.785695
255.969383 0.748735
240.385443 0.577943
257.569842 0.684101
283.174905 0.818447
241.084198 0.617027
253.391326 0.734903
268.082814 0.782570
264.356275 0.720883
259.125639 0.712130
237.077304 0.607510
263.852480 0.764374
260.960682 0.711885
265.025504 0.718293
252.050457 0.765282
243.863882 0.629623
256.134132 0.708318
257.959470 0.738191
261.338395 0.698324
243.461879 0.673430
272.402846 0.775857
257.210574 0.680977
269.723759 0.709693
227.406664 0.619729
243.064791 0.692915
269.379173 0.744521
257.573203 0.705833
276.942686 0.786250
259.237718 0.689666
265.051902 0.812792
266.057209 0.748758
235.941991 0.589020
248.180110 0.679621
259.511987 0.697379
261.105428 0.723589
273.575043 0.787386
266.394887 0.723280
248.255794 0.709419
246.690328 0.761327
249.224981 0.687387
237.931179 0.622057
266.940167 0.742659
239.084464 0.655621
287.026309 0.800218
262.309139 0.727164
246.256706 0.643237
254.477407 0.730341
233.122338 0.715410
248.153101 0.691964
239.372159 0.643102
239.859095 0.640901
286.203771 0.828479
235.803416 0.610244
248.065331 0.703316
260.878906 0.765874
260.781059 0.768320
253.776679 0.669593
252.069356 0.717505
260.852615 0.720264
264.013442 0.705214
267.560457 0.692904
281.608603 0.761910
268.506665 0.716198
288.498814 0.831063
251.027361 0.721128
263.067423 0.731804
244.242506 0.631478
246.296496 0.677056
239.569739 0.635845
265.790501 0.744873
258.515231 0.715999
249.726940 0.668143
267.732561 0.776968
251.134635 0.686713
228.450234 0.599260
281.423425 0.849196
274.688493 0.800718
267.239181 0.750547
270.991338 0.752107
251.360415 0.699669
276.208168 0.766611
285.735674 0.811921
269.588865 0.753898
258.562714 0.664228
255.850261 0.755235
237.172412 0.679275
258.052884 0.798190
254.472923 0.696978
250.317153 0.739020
238.677724 0.658894
228.570209 0.602829
282.493973 0.783670
278.025143 0.824357
291.403318 0.795384
249.151352 0.688218
238.907599 0.610998
266.450563 0.759222
249.027385 0.742163
239.925561 0.641862
251.583703 0.654685
218.536522 0.584353
233.765891 0.521371
247.766188 0.696622
279.785965 0.775321
241.670999 0.701942
291.440538 0.810647
263.192535 0.750259
251.704497 0.648063
259.388016 0.683010
291.583595 0.814783
256.725964 0.673968
267.009078 0.770160
257.839096 0.756852
237.439884 0.698115
245.432482 0.686046
240.570772 0.583619
239.968324 0.659224
278.631165 0.796718
249.923385 0.639382
226.724538 0.573555
269.511702 0.767623
266.265705 0.718154
257.996090 0.707816
244.649977 0.684314
223.728694 0.555034
289.381284 0.832750
282.526077 0.785406
254.172567 0.736689
254.220668 0.722646
269.796302 0.720704
269.676029 0.759198
260.807945 0.688588
263.745452 0.742883
251.225075 0.715852
278.596443 0.765728
260.078083 0.713618
271.711343 0.794051
264.040412 0.765809
259.681548 0.739191
237.293593 0.669513
260.520053 0.767093
276.298193 0.801821
258.577801 0.692520
279.308850 0.766796
280.885727 0.807339
261.084424 0.733105
288.669835 0.814098
248.334226 0.690035
252.850166 0.669381
254.723730 0.800848
253.644054 0.716626
294.303420 0.870329
283.717462 0.841643
255.380159 0.714696
250.659553 0.713919
277.987852 0.818376
244.533216 0.665987
243.236716 0.627937
260.814225 0.697513
274.479299 0.759826
253.176310 0.749948
234.423861 0.575560
264.492094 0.749385
248.536971 0.744290
261.801980 0.721555
253.959071 0.676600
285.841105 0.783912
284.882302 0.765533
252.889405 0.725662
268.977561 0.809920
275.268986 0.754683
242.508645 0.639705
233.096828 0.607592
257.379514 0.741017
269.220929 0.734051
249.422661 0.677906
250.011888 0.707168
259.847612 0.683051
247.708520 0.684859
269.190714 0.708288
264.620025 0.756951
247.930531 0.689397
262.035176 0.800128
239.205217 0.650901
262.125070 0.711020
255.145799 0.747331
261.030494 0.644552
233.091494 0.607497
282.805224 0.826476
276.340898 0.829111
246.119669 0.623352
263.448635 0.692178
265.815688 0.763326
250.864189 0.740358
252.303450 0.666751
258.439260 0.695809
247.241660 0.617636
259.538987 0.719811
223.027254 0.549425
268.831526 0.759126
271.823081 0.732416
274.988195 0.733788
249.922122 0.684375
253.668891 0.693409
253.377090 0.659663
252.133352 0.688761
248.473960 0.663787
262.966296 0.780837
290.277796 0.801039
280.811100 0.796012
257.227891 0.763357
256.754164 0.690580
256.943305 0.718837
251.946134 0.751501
264.714927 0.722973
247.714567 0.702976
250.121355 0.728861
278.085445 0.753920
249.583624 0.706174
301.052936 0.829346
276.446490 0.762957
259.593645 0.722915
245.863088 0.610477
208.860863 0.337956
301.497738 0.883361
283.150064 0.796941
272.993802 0.779265
264.690027 0.797930
233.284011 0.667893
276.655302 0.800148
269.134518 0.752274
255.343883 0.736207
270.961003 0.745730
268.689327 0.760135
250.649453 0.658715
265.230954 0.729320
274.503805 0.784224
256.161935 0.671435
253.797940 0.734773
266.881635 0.783915
251.292529 0.738639
226.343669 0.569457
297.667437 0.835391
243.776619 0.675087
236.555390 0.615700
277.317730 0.820442
249.181057 0.645072
268.045888 0.773375
246.423428 0.705476
263.275907 0.725849
278.233681 0.773129
258.274381 0.783494
251.325548 0.647773
266.042274 0.765700
251.154022 0.657058
250.628961 0.763626
253.764916 0.636826
236.968700 0.631548
256.528472 0.715254
245.651937 0.673792
241.280177 0.648871
233.705021 0.663910
243.152638 0.645105
